imdb.id,languages,genres,rating,n.ratings,budget,openingUSA,grossUSA,grossWorld
tt6158630,Arabic,Documentary | History | War,6.6,28,NA,NA,NA,NA
tt6165792,Japanese,Drama | Romance,6.4,1469,NA,NA,NA,"$380,560"
tt6166990,Filipino | Visayan | Tagalog,Comedy,7.3,165,NA,NA,NA,"$462,345"
tt6169644,None,Animation | Short,6.2,13,EUR500 (estimated),NA,NA,NA
tt6171960,English,Documentary,6.7,286,NA,NA,NA,NA
tt6173118,Spanish,Documentary,7.1,25,NA,NA,NA,NA
tt6176928,English,Documentary,5.4,1229,NA,"$43,804, 13 August 2017","$182,799","$182,799"
tt6178628,Danish,Documentary,6.9,402,NA,NA,NA,NA
tt6180842,English | Norwegian,Comedy | Drama,6.3,467,NA,NA,NA,"$29,882"
tt6181964,Kinyarwanda | English,Documentary,7.3,76,NA,NA,NA,NA
tt6184774,English,Documentary,6.7,141,NA,NA,NA,NA
tt6186442,English,Drama,6.3,51,NA,NA,NA,NA
tt6192878,Dutch | Arabic,Documentary,7.6,286,NA,"$2,035, 17 December 2017","$9,384","$369,581"
tt6194540,French,Comedy | Drama,5.8,271,NA,NA,NA,"$677,086"
tt6203844,French,Documentary | Family | Fantasy | History,8.6,8,NA,NA,NA,NA
tt6204524,English | Arabic | Dutch,Documentary,7.2,69,NA,NA,NA,NA
tt6207394,Dutch,Documentary,6.7,29,NA,NA,NA,NA
tt6209282,English,Documentary,7.4,1116,NA,"$10,926, 17 September 2017","$158,192","$198,239"
tt6212516,Spanish | English,Short | Drama,8.4,195,NA,NA,NA,NA
tt6213284,English | Nyanja | Bemba | Tonga,Comedy | Drama,6.9,3060,NA,"$8,252, 9 September 2018","$50,868","$182,462"
tt6213362,French | English,Drama | War,6.7,1878,NA,"$7,479, 6 May 2018","$177,331","$4,167,608"
tt6213758,Arabic | English,Drama | Thriller,4.9,215,"$1,000,000 (estimated)",NA,NA,NA
tt6217522,English,Documentary,6.3,18,NA,NA,NA,NA
tt6217608,English | Spanish | Sioux,Drama | Western,7.4,14086,NA,"$42,244, 15 April 2018","$2,419,031","$3,434,963"
tt6217664,English | Spanish,Documentary | Biography | History | Music,7.7,904,NA,"$22,453, 8 October 2017","$148,666","$272,842"
tt6217788,Dutch,Documentary | Animation | Short,NA,NA,NA,NA,NA,NA
tt6220252,Arabic,Documentary | Drama,6.7,211,NA,NA,NA,"$1,713"
tt6223806,Icelandic,Comedy | Drama | Thriller,6.8,3876,"ISK250,000,000 (estimated)","$13,617, 8 July 2018","$67,596","$944,991"
tt6223852,Portuguese,Short | Fantasy,NA,NA,NA,NA,NA,NA
tt6226610,Arabic | French,Drama,6.4,257,NA,NA,NA,"$244,065"
tt6227152,German | English,Documentary,7.4,318,NA,NA,NA,NA
tt6228102,Norwegian,Documentary,7.7,57,"NOK5,500,000 (estimated)",NA,NA,"$60,247"
tt6230134,Italian | English | Arabic | French,Comedy | Drama | Thriller,5.3,210,NA,NA,NA,NA
tt6235786,Russian,Documentary,6.4,830,NA,"$17,175, 21 January 2018","$35,757","$35,757"
tt6236310,English,Short | Comedy | Romance,NA,NA,NA,NA,NA,NA
tt6237642,Spanish,Documentary | Short,7.2,5,NA,NA,NA,NA
tt6238198,Dutch,Documentary,7.8,11,NA,NA,NA,NA
tt6243140,French,Action | Adventure | Drama | Horror | Sci-Fi | Thriller,5.9,8116,"CAD3,700,000 (estimated)",NA,NA,"$41,026"
tt6243230,Dutch,Documentary,7.2,17,NA,NA,NA,NA
tt6243426,Mandarin,Short | Drama,NA,NA,NA,NA,NA,NA
tt6245040,Dutch | Arabic,Documentary | Short,9,6,NA,NA,NA,NA
tt6245590,NA,Documentary,7.3,21,NA,NA,NA,NA
tt6246092,English,Documentary,7.4,105,NA,NA,"$22,257","$23,127"
tt6247314,Zulu | English,Drama,6.4,11,"$650,000 (estimated)",NA,NA,NA
tt6247936,French | German | English | Romany,Biography | Drama | Music | War,6.3,1489,NA,"$11,722, 7 January 2018","$56,556","$3,876,874"
tt6253214,Hebrew,Drama,6.9,634,"EUR350,000 (estimated)",NA,NA,NA
tt6253346,Danish | English,Documentary,6.3,83,NA,NA,NA,NA
tt6253688,English,Documentary,7.6,308,"EUR180,000 (estimated)",NA,NA,NA
tt6254144,Bulgarian,Documentary,7.3,335,NA,NA,NA,NA
tt6254446,Mandarin,Documentary | Biography,7,96,NA,NA,NA,NA
tt6254678,English,Documentary | Short,NA,NA,NA,NA,NA,NA
tt6259890,Filipino | Tagalog,Drama,6.1,196,NA,NA,NA,NA
tt6260534,Kurdish,Documentary,7.6,101,"EUR160,000 (estimated)",NA,NA,NA
tt6266218,English,Drama,6.3,485,NA,"$1,592, 17 September 2017","$2,077","$2,077"
tt6273226,Kirundi | Somali | Swahili | English | French,Documentary | War,6.7,31,"NOK8,000,000 (estimated)",NA,NA,NA
tt6273326,French,Documentary,6.8,74,NA,NA,NA,NA
tt6273388,Norwegian,Documentary,7.7,62,"EUR375,000 (estimated)",NA,NA,"$69,824"
tt6273456,Dutch | English,Documentary,6.7,30,NA,NA,NA,NA
tt6279650,Hungarian,Comedy,6.6,5,NA,NA,NA,NA
tt6279726,Greek | English | Arabic | Dari,Documentary | Short,7.7,897,"$30,000 (estimated)",NA,NA,NA
tt6281148,German | English | Arabic,Drama,5.5,222,NA,NA,NA,NA
tt6284556,NA,Documentary,NA,NA,NA,NA,NA,NA
tt6286720,Filipino,Short,NA,NA,NA,NA,NA,NA
tt6290428,None,Short,5.9,7,NA,NA,NA,NA
tt6292586,NA,Short,5.8,14,NA,NA,NA,NA
tt6293388,English,Short | Drama | Music,5.8,32,NA,NA,NA,NA
tt6297054,Arabic,Short | Mystery,6.7,7,NA,NA,NA,NA
tt6302950,French,Animation | Short,6.2,9,NA,NA,NA,NA
tt6303866,English,Drama,6.4,12543,NA,"$46,451, 27 August 2017","$473,771","$486,623"
tt6304046,Norwegian | Swedish,Drama | Fantasy | Horror | Mystery | Romance | Sci-Fi | Thriller,7,26709,"NOK47,500,000 (estimated)","$10,841, 12 November 2017","$147,391","$1,463,727"
tt6304090,Spanish,Documentary | Short,7,40,NA,NA,NA,NA
tt6304162,Russian | Tajik | Portuguese,Drama,7.6,29741,NA,"$30,222, 18 February 2018","$566,356","$3,925,992"
tt6305344,English | Arabic,Documentary,7,21,"$400,000 (estimated)",NA,NA,NA
tt6305722,NA,Animation | Short,NA,NA,NA,NA,NA,NA
tt6306400,Italian,Drama,6.2,1219,NA,NA,NA,"$2,730,233"
tt6311936,English,Documentary | Short,7,29,NA,NA,NA,NA
tt6312944,German,Drama,6.8,10,NA,NA,NA,NA
tt6316662,French,Short,6.1,86,NA,NA,NA,NA
tt6322912,French,Short | Western,5.1,9,NA,NA,NA,NA
tt6322922,English | French | Russian | German | Mandarin,Documentary,6.4,7632,"$1,000,000 (estimated)","$124,823, 30 July 2017","$3,496,795","$5,433,926"
tt6324018,NA,Animation | Short,7,6,NA,NA,NA,NA
tt6324176,None,Animation | Short,6.8,499,NA,NA,NA,NA
tt6327770,Arabic,Documentary,6.8,33,NA,NA,NA,NA
tt6331386,Arabic,Documentary,6.5,38,NA,NA,NA,NA
tt6331476,Arabic,Documentary | Romance,6.7,12,NA,NA,NA,NA
tt6331482,Swahili,Documentary | Short | Biography,NA,NA,NA,NA,NA,NA
tt6333066,English,Documentary,7.3,610,NA,"$3,522, 10 September 2017","$21,439","$22,553"
tt6333070,Xhosa | Afrikaans | English,Drama | Romance,6.7,1659,NA,NA,"$30,678","$213,043"
tt6333078,Filipino,Documentary,7.1,213,NA,NA,NA,NA
tt6333086,Yiddish | English | Spanish,Drama,6.5,1983,NA,"$62,078, 30 July 2017","$1,703,036","$1,962,265"
tt6335544,Turkish,Animation | Short | Drama,7.2,182,NA,NA,NA,NA
tt6337912,Catalan,Documentary | Short,8.3,23,NA,NA,NA,NA
tt6337922,NA,Animation | Short,6.6,10,NA,NA,NA,NA
tt6340090,German | English,Documentary,6.7,418,NA,"$9,084, 21 January 2018","$65,410","$86,451"
tt6340250,Hebrew,Short | Drama,7.8,26,NA,NA,NA,NA
tt6340264,French,History | Musical,5.7,850,NA,NA,NA,"$3,592"
tt6341668,English,Drama,5.9,655,NA,NA,NA,NA
tt6343058,English | Japanese,Comedy | Drama,6.8,2809,NA,"$14,569, 4 March 2018","$375,391","$600,145"
tt6347308,Dutch,Documentary,6.8,27,"EUR150,000 (estimated)",NA,NA,NA
tt6350148,Dutch,Documentary | Short,NA,NA,NA,NA,NA,NA
