festival.id;fest.name;fest.label;fest.name.mixed.alternative.1;fest.name.mixed.alternative.2;fest.name.mixed.alternative.3;fest.name.mixed.alternative.4;fest.name.mixed.alternative.5;fest.name.mixed.alternative.6;fest.location.country.en.1.standrardized;fest.location.country.en.2.standrardized;fest.location.country.en.3.standrardized;fest.location.country.en.4.standrardized;fest.location.country.en.5.standrardized;event.country.region;fest.location.city.en.1;fest.location.city.en.2;fest.location.city.en.3;fest.location.city.en.4;fest.location.city.en.5;month.start;extr.eval.bmbf.20.prc;extr.eval.fiapf;extr.eval.bafta;extr.eval.academy.awards;found.year;source.not.website;not.exist.bin;not.exist;not.ident;not.found;festival.lgbtq;festival.women;festival.black;festival.jewish;festival.asian;festival.latino;festival.other.identity;festival.film.noir;festival.genre;festival.classics;festival.underground;festival.arthouse;festival.independent;festival.trash;festival.science;festival.historical;festival.war;festival.crime;festival.comedy;festival.action;festival.food.wine;festival.animation;festival.archival;festival.documentary;festival.experimental;festival.silent;festival.children.youth;festival.up.and.coming;festival.debut;festival.short.film;festival.screenplay;festival.video;festival.disability;festival.human.rights;festival.indigenous;festival.education.genre;festival.mental.health;festival.student;festival.diaspora;festival.transnational;festival.national;festival.region;festival.online;festival.tv;festival.series;festival.random.fun.themes;festival.porn.erotic;festival.ethnographic.anthropological;festival.environmental.nature;festival.fantasy.horror.thriller.scifi;website;festival.random.fun.themes.cat;specialisation;source
fest.lib.id.na450;transatlantyk film festival;transatlantyk;transatlantyk festival;transatlantyk film festival;NA;NA;NA;NA;Poland;NA;NA;NA;NA;Europe;poznan;NA;NA;NA;0;6;0;no fiapf accreditation;0;0;2011;Quelle GrÃ¼ndungsjahr: https://de.wikipedia.org/wiki/Transatlantyk;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na452;trebon film festival;trebon;trebon film festival;trebon film festival;NA;NA;NA;NA;Czechia;NA;NA;NA;NA;Europe;trebon;NA;NA;NA;0;5;0;no fiapf accreditation;0;0;2002;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na453;trento film festival;trento;trento film festival;trento film festival;NA;NA;NA;NA;Italy;NA;NA;NA;NA;Europe;"trento; bolzano";NA;NA;NA;0;4;0;no fiapf accreditation;0;0;1952;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;NA;1;0
fest.lib.id.na454;tromso children's film festival;tromso children's;tromso children's film festival;tromso children's film festival;NA;NA;NA;NA;Norway;NA;NA;NA;NA;Europe;tromso;NA;NA;NA;0;9;0;no fiapf accreditation;0;0;2013;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na455;turkey film festival in paris;turkey in paris;turkey film festival in paris;turkey film festival in paris;NA;NA;NA;NA;France;NA;NA;NA;NA;Europe;paris;NA;NA;NA;0;4;0;no fiapf accreditation;0;0;NA;Quelle: https://www.aa.com.tr/en/culture-and-art/turkish-film-festival-in-paris-kicks-off-april-5/171700;1;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na456;turkish film week;turkish week;turkish film week;turkish film week;NA;NA;NA;NA;Poland;NA;NA;NA;NA;Europe;krakow;NA;NA;NA;0;10;0;no fiapf accreditation;0;0;NA;0;0;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na457;ucla school of theater, film & television film festival;ucla school of theater, & television;ucla school of theater film & television film festival premiere;ucla school of theater, film & television film festival;ucla school of theater film & television film festival premiere;NA;NA;NA;United States;NA;NA;NA;NA;North America;los angeles;NA;NA;NA;0;6;0;no fiapf accreditation;0;0;NA;0;0;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na458;unlimited short film festival cologne;unlimited short cologne;unlimited film festival cologne;unlimited short film festival cologne;unlimited film festival cologne;NA;NA;NA;Germany;NA;NA;NA;NA;Europe;cologne;NA;NA;NA;0;11;0;no fiapf accreditation;0;0;2005;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;0
fest.lib.id.na459;utopia film festival;utopia;utopia film festival;utopia film festival;NA;NA;NA;NA;Israel;NA;NA;NA;NA;MENA;tel aviv;NA;NA;NA;0;9;0;no fiapf accreditation;0;0;2014;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;1;0
fest.lib.id.na46;biarritz international festival of audiovisual programming;biarritz international of audiovisual programming;biarritz international festival of audiovisual programming;biarritz international festival of audiovisual programming;NA;NA;NA;NA;France;NA;NA;NA;NA;Europe;biarritz;NA;NA;NA;0;1;0;no fiapf accreditation;0;0;1987;Quelle: https://en.wikipedia.org/wiki/Festival_International_de_Programmes_Audiovisuels;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na461;festival de cinema valenciennes;de cinema valenciennes;valenciennes film festival;festival de cinema valenciennes;valenciennes film festival;NA;NA;NA;France;NA;NA;NA;NA;Europe;valenciennes;NA;NA;NA;0;3;0;no fiapf accreditation;0;0;2011;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na464;vancouver polish film festival;vancouver polish;vancouver polish film festival;vancouver polish film festival;NA;NA;NA;NA;Canada;NA;NA;NA;NA;North America;vancouver;NA;NA;NA;0;10;0;no fiapf accreditation;0;0;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na465;vancouver turkish film festival;vancouver turkish;vancouver turkish film festival;vancouver turkish film festival;NA;NA;NA;NA;Canada;NA;NA;NA;NA;North America;vancouver;NA;NA;NA;0;11;0;no fiapf accreditation;0;0;2011;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na466;vendome film festival;vendome;vendome film festival;vendome film festival;festival du film de vendome;vendÃ´me film festival;festival du film de vendÃ´me;NA;France;NA;NA;NA;NA;Europe;vendÃ´me;NA;NA;NA;0;11;0;no fiapf accreditation;0;0;1992;Quelle GrÃ¼ndungsjahr: https://fr.wikipedia.org/wiki/Festival_du_film_de_VendÃ´m;1;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;NA;NA;0;0
fest.lib.id.na467;victoria independent film and video festival;victoria independent and video;victoria independent film and video festival;victoria independent film and video festival;victoria film festival;NA;NA;NA;Canada;NA;NA;NA;NA;North America;victoria;NA;NA;NA;0;2;0;no fiapf accreditation;0;0;1995;Quelle: https://en.wikipedia.org/wiki/Victoria_Film_Festival#Festival_History;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0
