festival_id,filmrank
imdbady00448,0.0013136265945332772
imdbady00263,0.0011999258114383457
fest.lib.id.survey.na259,0.0025556207323317345
fest.lib.id1832,0.10684151432045275
fest.lib.id.na298,0.0022234549012593832
imdbady01298,0.0027487102817547663
imdbady00513,0.0011280081187965908
fest.lib.id.na400,0.008181622419241636
fest.lib.id7849,0.0015193809527656755
fest.lib.id.na440,0.0027017519382000117
fest.lib.id6295,0.0014122977968438158
fest.lib.id.survey.na285,0.0013965631202055297
imdbady01500,0.0014729915480598567
fest.lib.id.survey.na70,0.0012679161014601743
imdbady01729,0.0012350937003513484
imdbady00165,0.0015544144403783092
fest.lib.id.na30,0.006347712435194941
fest.lib.id1603,0.0025855195803341996
imdbady00137,0.0014739082701942523
imdbady00348,0.0016963049235402517
imdbady00125,0.0014739082701942523
fest.lib.id.survey.na427,0.0028983751536351314
fest.lib.id1557,0.19355067805909
imdbady01583,0.00208136476478154
fest.lib.id870,0.002282905632204974
fest.lib.id1751,0.0032478777330886385
fest.lib.id.na334,0.00800421354103605
fest.lib.id.survey.na167,0.003203881897157461
imdbady01089,0.0010593772263213519
fest.lib.id.survey.na513,0.002033383565943617
imdbady00281,0.0016370674459598045
imdbady01452,0.0015586427158825987
fest.lib.id.survey.na268,0.0014367646967664602
imdbady00801,0.0015250724195291516
fest.lib.id1613,0.06430215101394857
imdbady00543,0.0012997864365508298
fest.lib.id1904,0.00999093343119598
fest.lib.id1669,0.10444058310552894
fest.lib.id252,0.0032688527059038202
fest.lib.id.na282,0.006192364029310684
imdbady01184,0.0014739082701942523
fest.lib.id1300,0.003284089647596143
fest.lib.id206,0.01882695794132455
imdbady01669,0.00567392884360078
fest.lib.id747,0.0014878338521386253
imdbady01168,0.001112813165820379
fest.lib.id.survey.na509,0.002005477160704472
fest.lib.id1286,0.013204462507570871
fest.lib.id.na194,0.010111207190546125
fest.lib.id.na168,0.007437157678461283
fest.lib.id.na346,0.0021973624073568575
fest.lib.id.na458,0.0018577197742591606
fest.lib.id.na140,0.003303915646494553
imdbady01507,0.0014861620708675964
imdbady00822,0.0013861386566507486
imdbady01571,0.002848647668275315
fest.lib.id000001,0.006468265418307656
fest.lib.id.na202,0.0011122945645962333
imdbady01199,0.001185656803101456
imdbady00282,0.0013636853513610742
imdbady01031,0.0026285245881455944
fest.lib.id.survey.na638,0.0023055457370180733
fest.lib.id222,0.004746069017884922
fest.lib.id.survey.na239,0.0015193809527656755
fest.lib.id.na485,0.004413263693022536
imdbady01369,0.0013794228872920386
imdbady00284,0.0011089113569233428
imdbady00410,0.0015203925047308406
fest.lib.id1774,0.009588060507155733
imdbady00701,0.0019334756628644053
fest.lib.id6833,0.0020198900527984114
imdbady01681,0.0017711941922256796
fest.lib.id.survey.na290,0.0015193809527656755
fest.lib.id5242,0.001296537388407162
imdbady01559,0.001127656726347326
imdbady00319,0.0012014565460049934
imdbady00052,0.001131397579267447
fest.lib.id.na306,0.009677639350467572
fest.lib.id.survey.na653,0.0015193809527656755
fest.lib.id.na26,0.015995170390635884
fest.lib.id3558,0.007022351898460169
imdbady00344,0.0012428076033759103
fest.lib.id5699,0.00192672519188153
imdbady00198,0.001274263434538812
imdbady01190,0.0014314894180044002
fest.lib.id1351,0.00606312365502592
fest.lib.id.na51,0.0010528491807847904
imdbady00430,0.0025563568168696918
imdbady00417,0.001541331722415716
imdbady00096,0.001083042547699056
fest.lib.id.na341,0.028217524169757893
fest.lib.id8024,0.002383804725072045
imdbady00461,0.0015884936717347356
imdbady01305,0.0012367976678774497
fest.lib.id1432,0.0063367379257681
imdbady00064,0.0012997864365508298
imdbady01154,0.0033335903208265905
imdbady00521,0.0028212580784463975
fest.lib.id.survey.na63,0.0013965631202055297
imdbady00229,0.0011140084368531993
fest.lib.id.na333,0.02560174765333237
imdbady01690,0.001341552064723449
imdbady01204,0.0014948299756657676
fest.lib.id.na403,0.0035192121212708383
fest.lib.id7674,0.012166402718669728
fest.lib.id.na431,0.0010950631033154422
fest.lib.id1848,0.004787357399912215
fest.lib.id1925,0.0062764066254804825
fest.lib.id.survey.na205,0.0025028870575879783
imdbady01611,0.001301033704898769
imdbady00590,0.0013451489078099522
imdbady00105,0.002114047338383278
imdbady00463,0.001143995697673182
imdbady00665,0.001130537893123858
id086,0.0015193809527656755
imdbady01544,0.0018747387811881575
imdbady00215,0.0012530081301738824
