film_id,filmrank,premiere_festival,premiere_year,premiere_festival_filmrank,played_strategic,num_strategic,max_strategic_filmrank,avg_strategic_filmrank,played_top5_festival,played_top10_festival,num_top5_festivals,num_top10_festivals
f16838,0.014923976491835729,fest.lib.id1888,2012,0.9014664491525963,0,0,0,0,1,1,1,1
150,0.040585607875849666,id335,2013,0.014938791948526466,0,0,0,0,1,1,1,1
idfnew510,0.039261968963879595,fest.lib.id1888,1992,0.9014664491525963,0,0,0,0,1,1,2,2
frnew531,0.010234032831391644,fest.lib.id.na42,2014,0.06417041546238612,0,0,0,0,0,0,0,0
idfnew1820,0.04992897881206113,fest.lib.id1808,2017,0.1145501607898263,0,0,0,0,1,1,1,2
tffnew1700,0.021759116262080817,fest.lib.id1664,2015,0.15064075420920695,0,0,0,0,1,1,1,2
tffnew2439,0.02260909238016958,imdbady00882,2017,0.0016877464292151174,0,0,0,0,1,1,1,1
idfnew48,0.01599891478241044,fest.lib.id1858,2011,0.02539036026064619,0,0,0,0,1,1,1,1
I1203784,0.024237067105892848,fest.lib.id.na120,2011,0.04508871310438658,0,0,0,0,1,1,1,1
idfnew1822,0.022028614290615183,fest.lib.id1722,2007,0.10246538636036051,0,0,0,0,0,0,0,0
tffnew1255,0.009336977626214061,fest.lib.id1736,2014,1.0,0,0,0,0,1,1,1,1
f17634,0.009940784625779017,fest.lib.id1888,2015,0.9014664491525963,0,0,0,0,1,1,1,1
813,0.03260393786425453,fest.lib.id1736,2013,1.0,0,0,0,0,1,1,1,1
708,0.010470746031531416,fest.lib.id665,2013,0.318359506181511,0,0,0,0,0,1,0,1
N1600242,0.01818274083977506,fest.lib.id1050,2015,0.10887639162499597,0,0,0,0,1,1,1,1
f8282,0.0209227881305716,fest.lib.id1888,2017,0.9014664491525963,0,0,0,0,1,1,1,1
f8319,0.03067271960887584,fest.lib.id1888,2017,0.9014664491525963,0,0,0,0,1,1,1,1
N1500177,0.015123470666948637,fest.lib.id.na308,2014,0.006180417695820174,0,0,0,0,1,1,1,1
frnew559,0.01337606355518251,fest.lib.id665,2014,0.318359506181511,0,0,0,0,0,1,0,1
f8029,0.013612013393415012,fest.lib.id1888,2016,0.9014664491525963,0,0,0,0,1,1,1,1
tffnew2266,0.02189897480462746,fest.lib.id1808,2016,0.1145501607898263,0,0,0,0,1,1,1,2
idfnew1173,0.00882047701470535,fest.lib.id.na50,2015,0.08438403960319157,0,0,0,0,0,0,0,0
idfnew447,0.02387392112809797,fest.lib.id731,2012,0.3424863555939673,0,0,0,0,0,1,0,1
tffnew59,0.02255653010795974,fest.lib.id.na90,2011,0.015772236282366865,0,0,0,0,1,1,1,2
f16746,0.009940784625779017,fest.lib.id1888,2011,0.9014664491525963,0,0,0,0,1,1,1,1
N1501509,0.011219045524521635,fest.lib.id364,2015,0.6039825158473134,0,0,0,0,1,1,1,1
651,0.013306174687989943,fest.lib.id.na232,2012,0.007273826290746834,0,0,0,0,1,1,1,1
idfnew1498,0.030940047028448235,fest.lib.id.ch1786,2016,0.19707774754205087,0,0,0,0,1,1,1,3
idfnew1107,0.055093024737303466,fest.lib.id1658,2015,0.15002034797660702,0,0,0,0,1,1,1,1
tffnew2588,0.01190803369750215,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,1
f9374,0.017834858298812067,fest.lib.id285,2017,0.39801347663094955,0,0,0,0,1,1,2,2
tffnew2616,0.031214101275046438,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,1
f17467,0.03597856208518437,fest.lib.id1888,2015,0.9014664491525963,0,0,0,0,1,1,1,3
1506,0.017268169329135746,fest.lib.id364,2013,0.6039825158473134,0,0,0,0,1,1,1,1
1367,0.05002859519653525,fest.lib.id1050,2013,0.10887639162499597,0,0,0,0,1,1,1,2
tffnew1669,0.009336977626214061,fest.lib.id1736,2015,1.0,0,0,0,0,1,1,1,1
f16682,0.050038850532997746,fest.lib.id285,2003,0.39801347663094955,0,0,0,0,1,1,3,3
tffnew1426,0.05196421913783234,fest.lib.id1736,2014,1.0,0,0,0,0,1,1,1,2
738,0.06394550336441755,fest.lib.id1736,2013,1.0,0,0,0,0,1,1,1,2
1303,0.009940784625779017,fest.lib.id1888,2013,0.9014664491525963,0,0,0,0,1,1,1,1
tffnew2115,0.027353955388235814,fest.lib.id1736,2016,1.0,0,0,0,0,1,1,1,2
tffnew238,0.02250139018207366,fest.lib.id285,2010,0.39801347663094955,0,0,0,0,1,1,1,2
frnew736,0.012776514423861591,fest.lib.id859,2015,0.013401782077490586,0,0,0,0,0,0,0,0
tffnew1945,0.043342196653713604,fest.lib.id961,2016,0.043124735389292075,0,0,0,0,1,1,1,2
N1501678,0.015577336211046884,fest.lib.id364,2015,0.6039825158473134,0,0,0,0,1,1,1,1
f17123,0.0782896644682602,fest.lib.id1888,2014,0.9014664491525963,0,0,0,0,1,1,1,1
I1200499,0.016442726729474465,fest.lib.id.na292,2011,0.07612469051374422,0,0,0,0,0,0,0,0
f17327,0.0390207003818943,fest.lib.id1658,2014,0.15002034797660702,0,0,0,0,0,1,0,1
frnew291,0.009427210235655714,fest.lib.id1858,2011,0.02539036026064619,0,0,0,0,0,0,0,0
idfnew553,0.0350641274597367,fest.lib.id874,2012,0.5062687909078113,0,0,0,0,1,1,1,2
tffnew222,0.012079209633487877,fest.lib.id1736,2011,1.0,0,0,0,0,1,1,1,1
frnew73,0.042769315330529585,fest.lib.id768,2011,0.007324761773419437,0,0,0,0,0,0,0,0
f17053,0.03601412311291634,fest.lib.id.na291,2012,0.005066174580229889,0,0,0,0,1,1,1,1
tffnew198,0.026601616310166214,fest.lib.id213,2011,0.00976860318220209,0,0,0,0,1,1,1,2
f9007,0.05254920348978692,fest.lib.id285,2011,0.39801347663094955,0,0,0,0,1,1,2,3
f16991,0.012455578480664229,fest.lib.id1888,2012,0.9014664491525963,0,0,0,0,1,1,1,2
tffnew183,0.028431794672785258,fest.lib.id1050,2011,0.10887639162499597,0,0,0,0,1,1,1,2
frnew1118,0.03711602488665375,fest.lib.id365,2017,0.0812771382038422,0,0,0,0,0,0,0,0
f9287,0.12528277359314724,fest.lib.id285,2016,0.39801347663094955,0,0,0,0,1,1,2,4
tffnew2595,0.009336977626214061,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,1
tffnew1252,0.009619797354913784,fest.lib.id1843,2014,0.01165070094018319,0,0,0,0,0,0,0,0
tffnew304,0.057762623469680696,fest.lib.id1736,2011,1.0,0,0,0,0,1,1,1,2
f8310,0.009940784625779017,fest.lib.id1888,2017,0.9014664491525963,0,0,0,0,1,1,1,1
idfnew112,0.032519573153927527,fest.lib.id1768,2011,0.07352724707497833,0,0,0,0,0,0,0,0
f9240,0.021221246063396124,fest.lib.id174,2015,0.12232867487620556,0,0,0,0,1,1,2,2
f7791,0.009940784625779017,fest.lib.id1888,2016,0.9014664491525963,0,0,0,0,1,1,1,1
1116,0.010470746031531416,fest.lib.id665,2013,0.318359506181511,0,0,0,0,0,1,0,1
1277,0.02245444346537633,fest.lib.id1736,2013,1.0,0,0,0,0,1,1,1,1
f8224,0.05089296486047473,fest.lib.id1658,2017,0.15002034797660702,0,0,0,0,0,0,0,0
1362,0.01713079406780418,fest.lib.id1888,2013,0.9014664491525963,0,0,0,0,1,1,1,1
tffnew2573,0.011757633636468432,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,1
tffnew1445,0.021694141362918466,fest.lib.id1736,2014,1.0,0,0,0,0,1,1,1,1
tffnew1132,0.014301731663278132,fest.lib.id1736,2014,1.0,0,0,0,0,1,1,1,2
tffnew2490,0.009336977626214061,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,1
idfnew829,0.00995575178972834,fest.lib.id874,2014,0.5062687909078113,0,0,0,0,1,1,1,1
1343,0.01952575041726285,fest.lib.id1147,2013,0.04743769596462434,0,0,0,0,1,1,1,1
idfnew459,0.014793694048544036,fest.lib.id174,2012,0.12232867487620556,0,0,0,0,0,0,0,0
idfnew1230,0.02231284762412815,fest.lib.id1768,2015,0.07352724707497833,0,0,0,0,0,1,0,1
N1100796,0.021875807801762688,fest.lib.id.survey.na315,2010,0.004102507375160991,0,0,0,0,0,0,0,0
idfnew1647,0.00995575178972834,fest.lib.id874,2017,0.5062687909078113,0,0,0,0,1,1,1,1
tffnew2445,0.009336977626214061,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,1
N1600827,0.011219045524521635,fest.lib.id364,2016,0.6039825158473134,0,0,0,0,1,1,1,1
frnew1025,0.018843353783795314,fest.lib.id1292,2016,0.004710768670663078,0,0,0,0,0,0,0,0
f17159,0.06061967248002334,fest.lib.id1658,2014,0.15002034797660702,0,0,0,0,1,1,1,2
tffnew87,0.009336977626214061,fest.lib.id1736,2011,1.0,0,0,0,0,1,1,1,1
tffnew2418,0.04507804939608809,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,2
idfnew1676,0.015298854838442422,fest.lib.id364,2018,0.6039825158473134,0,0,0,0,1,1,1,1
N1201034,0.011763331147246371,fest.lib.id1401,2012,0.00812481297591991,0,0,0,0,0,0,0,0
f8171,0.08750669888108781,fest.lib.id1736,2016,1.0,0,0,0,0,1,1,2,2
96,0.0471313622149345,fest.lib.id974,2013,0.16229812321214043,0,0,0,0,1,1,1,1
tffnew2681,0.012239996113873022,fest.lib.id1736,2017,1.0,0,0,0,0,1,1,1,1
I1502506,0.014650256022472965,fest.lib.id117,2014,0.039048634073661166,0,0,0,0,1,1,1,1
1119,0.045527977094884015,fest.lib.id.na333,2012,0.02560174765333237,0,0,0,0,0,1,0,1
frnew52,0.09507355316131447,fest.lib.id1557,2011,0.19355067805909,0,0,0,0,0,1,0,2
1308,0.054024425085721466,fest.lib.id1658,2004,0.15002034797660702,0,0,0,0,1,1,1,2
f8245,0.03799806822126677,imdbady00184,2016,0.0013973127158122293,0,0,0,0,1,1,1,2
f9009,0.05528245689600681,fest.lib.id285,2011,0.39801347663094955,0,0,0,0,1,1,2,5
1179,0.018084219387153343,fest.lib.id1836,2012,0.03307221669352303,0,0,0,0,1,1,1,2
I1101552,0.014077926919863351,fest.lib.id1899,2011,0.020175366079478816,0,0,0,0,0,0,0,0
frnew497,0.02933805908493422,fest.lib.id.survey.na526,2014,0.15796024924762553,0,0,0,0,0,1,0,1
N1601313,0.011219045524521635,fest.lib.id364,2016,0.6039825158473134,0,0,0,0,1,1,1,1
f17446,0.022198984755368828,fest.lib.id1888,2015,0.9014664491525963,0,0,0,0,1,1,1,1
1581,0.014122064012180595,fest.lib.id7160,2012,0.08755778354559723,0,0,0,0,1,1,1,1
184,0.013174912512255747,fest.lib.id1736,2012,1.0,0,0,0,0,1,1,2,2
idfnew917,0.018040219805301873,fest.lib.id874,2014,0.5062687909078113,0,0,0,0,1,1,1,1
f8012,0.030283608847704414,fest.lib.id1888,2016,0.9014664491525963,0,0,0,0,1,1,1,2
170,0.02209420247500772,fest.lib.id874,2013,0.5062687909078113,0,0,0,0,1,1,1,2
frnew225,0.03179939201507734,fest.lib.id665,2011,0.318359506181511,0,0,0,0,0,1,0,1
f7884,0.03776578928010741,fest.lib.id1888,2016,0.9014664491525963,0,0,0,0,1,1,2,2
tffnew447,0.022024981027102673,fest.lib.id1736,2012,1.0,0,0,0,0,1,1,1,1
frnew344,0.015872695710019348,fest.lib.id1167,2012,0.14309594420744598,0,0,0,0,0,0,0,0
idfnew1009,0.012921029691694933,fest.lib.id874,2015,0.5062687909078113,0,0,0,0,1,1,1,1
890,0.05148689917827385,fest.lib.id1736,2013,1.0,0,0,0,0,1,1,1,1
tffnew1542,0.011911229506044847,fest.lib.id1736,2015,1.0,0,0,0,0,1,1,1,1
f7846,0.015245242326755832,fest.lib.id1888,2016,0.9014664491525963,0,0,0,0,1,1,1,1
N1701703,0.011219045524521635,fest.lib.id364,2017,0.6039825158473134,0,0,0,0,1,1,1,1
1469,0.016879526932030677,fest.lib.id1401,2012,0.00812481297591991,0,0,0,0,1,1,1,1
1130,0.024507644837237795,fest.lib.id365,2013,0.0812771382038422,0,0,0,0,1,1,1,1
